Date,USD_CNY_Rate,US_Interest_Rate,US_CPI,CN_CPI,CN_LPR,Gold_Price,SP500_Close,CN_M2,CN_Stock_Price
2015-11-30,6.3883,0.12,238.017,100.1,0.75,3479.7,2080.41,137395601474437.0,96.35088
2015-12-31,6.4778,0.24,237.761,100.6,0.75,3465.71,2043.94,139227810919881.0,95.94104
2016-01-31,6.5752,0.34,237.652,101.1,0.75,3598.72,1940.24,141631955112113.0,81.43359
2016-02-29,6.5525,0.38,237.336,102.7,0.75,3644.1,1932.23,142461867792204.0,75.5868
2016-03-31,6.448,0.36,238.08,102.2,0.75,3563.95,2059.74,144619802900000.0,78.69484
2016-04-30,6.4738,0.37,238.992,102.0,0.75,3636.47,2065.3,144520958800000.0,81.31035
2016-05-31,6.5798,0.37,239.557,101.6,0.75,3453.97,2096.96,146169510000000.0,77.47234
2016-06-30,6.6459,0.38,240.222,101.4,0.75,3657.06,2098.86,149049182794442.0,78.50861
2016-07-31,6.6371,0.39,240.101,101.6,0.75,3623.76,2173.6,149155871700000.0,81.62416999999999
2016-08-31,6.6776,0.4,240.545,101.7,0.75,3481.94,2170.95,151098290500000.0,82.52074
2016-09-30,6.6685,0.4,241.176,102.4,0.75,3511.79,2168.27,151636050000000.0,82.07132
2016-10-31,6.7735,0.4,241.741,102.3,0.75,3365.36,2126.15,151948540477789.0,82.97025
2016-11-30,6.8837,0.41,242.026,102.4,0.75,3101.82,2198.81,153043206189849.0,86.4572
2016-12-31,6.943,0.54,242.637,102.6,0.75,3041.75,2238.83,155006666781086.0,85.38379
2017-01-31,6.8768,0.65,243.618,103.7,0.75,3172.64,2278.87,157594558824035.0,84.89984
2017-02-28,6.8665,0.66,244.006,103.5,0.75,3239.91,2363.64,158291307400000.0,86.7471
2017-03-31,6.8832,0.79,243.892,103.2,0.75,3218.31,2362.72,159960957300000.0,87.67939
2017-04-30,6.89,0.9,244.193,103.2,0.75,3264.19,2384.2,159633186800000.0,86.96244
2017-05-31,6.8098,0.91,244.004,103.3,0.75,3208.05,2411.8,160136041500000.0,83.8334
2017-06-30,6.7793,1.04,244.163,103.1,0.75,3135.66,2423.41,163128253000000.0,85.1116
2017-07-31,6.724,1.15,244.243,103.0,1.0,3146.95,2470.3,162899663081962.0,87.17877
2017-08-31,6.5888,1.16,245.183,103.5,1.0,3210.27,2471.65,164515660058768.0,88.94570999999999
